,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,assetattribute_id,synced,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:13Z,AssetAttributes,Asset,ConfigData,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,sum_of_runtime,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:14Z,AssetAttributes,Asset,ConfigData,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,sum_of_slowspeed,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:15Z,AssetAttributes,Asset,ConfigData,7f389438-1322-442c-8e9b-99d70bf9cb04,sum_of_downtime,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:16Z,AssetAttributes,Asset,ConfigData,7b3398c0-bbff-41e8-8601-9186e326cb73,motor_cooling_fan_rpm,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:17Z,AssetAttributes,Asset,ConfigData,6bdcfb85-0170-4ff5-b315-1120fd5bb963,speed_m_s,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:18Z,AssetAttributes,Asset,ConfigData,4325dce2-57e0-48af-8ca9-10658b48ae12,dancer_pressure,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:19Z,AssetAttributes,Asset,ConfigData,4e914241-af7a-456a-975a-ba24a23d55d7,wd_kwh,1,,,,,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,long,,,,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,asset_name,shop_id,synced,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:01Z,AssetConfig,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,Wet Draw 1,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:02Z,AssetConfig,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,Wet Draw 2,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:03Z,AssetConfig,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,Wet Draw 3,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
